shapeid,OBJECTID,BUILDING_NUMBER,LAYER,Shape_Leng,Shape_Area,x,y,Path
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09169453,42.35970416,2147
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09172669,42.35975517,2148
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09132252,42.3598907,2149
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09127735,42.35990561,2150
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09118955,42.35993491,2151
79,83,4,C-BLDG,1170.44936,33498.72515,-71.09109798,42.35978231,2152
88,92,5,C-BLDG,674.8481691,17493.46986,-71.09261608,42.35841976,2287
88,92,5,C-BLDG,674.8481691,17493.46986,-71.09260793,42.35840632,2288
88,92,5,C-BLDG,674.8481691,17493.46986,-71.09278304,42.35834787,2289
88,92,5,C-BLDG,674.8481691,17493.46986,-71.09282534,42.35833466,2290
88,92,5,C-BLDG,674.8481691,17493.46986,-71.09323537,42.35900284,2291
88,92,5,C-BLDG,674.8481691,17493.46986,-71.09324338,42.35899985,2292
88,92,5,C-BLDG,674.8481691,17493.46986,-71.09324776,42.35900631,2293
88,92,5,C-BLDG,674.8481691,17493.46986,-71.09301971,42.35908242,2294
88,92,5,C-BLDG,674.8481691,17493.46986,-71.09261608,42.35841976,2295
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09017132,42.35922998,2222
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09040679,42.35914999,2223
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09041122,42.35915729,2224
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09043354,42.35919016,2225
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09044388,42.35918663,2226
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.09047696,42.3592387,2227
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.0903985,42.35926443,2228
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.0905002,42.35943185,2229
85,89,6_6B,C-BLDG,779.8516528,19028.98668,-71.0905388,42.35942,2230
